title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Honda Fit GP5 S Grade 2015,"4,425,000",Kandy,Kandy,Cars & Vehicles,Cars,Honda,2015,Used,Automatic,Fit GP5 S Grade,Hatchback,Other fuel type,"1,500 ","58,200 "
Red Fuso Rosa Bus For Hire,50,Colombo,Athurugiriya,Cars & Vehicles,Auto Services,,,,,,,,,
BUFFER AXIO 2010 TAIL LIGHT,"10,000",Gampaha,Negombo,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
Coaster Mini Coach For Hire & Tour,55,Colombo,Colombo 6,Cars & Vehicles,Auto Services,,,,,,,,,
Maruti ALTO K 10 2012,"1,695,000",Matara,Matara,Cars & Vehicles,Cars,Maruti,2012,Used,Manual,ALTO K 10,Hatchback,Petrol,"1,000 ","56,000 "
Bajaj RS 200 2015,"375,000",Kurunegala,Kurunegala,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2015,Used,,RS 200,,,200 ,"45,000 "
Nissan serina 253 1994,"1,295,000",Colombo,Wellampitiya,Cars & Vehicles,"Vans, Buses & Lorries",Nissan,1994,Reconditioned,,serina 253,,,,"275,000 "
Suzuki Wagon R FZ 2017,"3,280,000",Kalutara,Horana,Cars & Vehicles,Cars,Suzuki,2017,Reconditioned,Automatic,Wagon R FZ,,Petrol,660 ,"2,600 "
Toyota Vitz 2018,"4,650,000",Kalutara,Horana,Cars & Vehicles,Cars,Toyota,2018,New,Automatic,Vitz,,Petrol,"1,000 ",30 
Nissan Vanette 1989,"1,250,000",Ratnapura,Ratnapura,Cars & Vehicles,"Vans, Buses & Lorries",Nissan,1989,Used,,Vanette,,,,"20,000 "
Bajaj CT 100 2010,"65,000",Kurunegala,Kurunegala,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2010,Used,,CT 100,,,100 ,"43,000 "
Honda Grace 2015,"5,150,000",Colombo,Colombo 6,Cars & Vehicles,Cars,Honda,2015,Used,Automatic,Grace,Saloon,"Petrol, Other fuel type","1,500 ","43,000 "
